Specifications of soil vegetation components and erosion parameters
id	soil_id	veg_id	musle_k[(ton acre hr)/(acre ft-ton inch)]	musle_c[-]	musle_p[-]	coarse_fraction[%]	manning_n
2	11	18	0.250551002548296	-9999	1	-9999	-9999
3	27	0	0.25286597359394	-9999	1	-9999	-9999
4	27	1	0.25286597359394	-9999	1	-9999	-9999
5	27	3	0.25286597359394	-9999	1	-9999	-9999
7	27	12	0.25286597359394	-9999	1	-9999	-9999
9	27	16	0.25286597359394	-9999	1	-9999	-9999
10	27	17	0.25286597359394	-9999	1	-9999	-9999
11	27	18	0.25286597359394	-9999	1	-9999	-9999
