TC	svc_c1	svc_c2	svc_c3	svc_c4	svc_c5	svc_c6	svc_c7	svc_c8	svc_c9	svc_c10	svc_c11	svc_c12	svc_c13	svc_c14	svc_c15	svc_c16	svc_c17	svc_c18	svc_c19	svc_c20	svc_c21	svc_c22	svc_c23	svc_c24	svc_c25	svc_c26	svc_c27	svc_c28	svc_c29	svc_c30	svc_c31	svc_c32	svc_c33	svc_c34	svc_c35	svc_c36	svc_c37	svc_c38	svc_c39	svc_c40	svc_c41	svc_c42	svc_c43	svc_c44	svc_c45	svc_c46	svc_c47	svc_c48	svc_c49	svc_c50	svc_c51	svc_c52	svc_c53	svc_c54	svc_c55	svc_c56	svc_c57	svc_c58	svc_c59	svc_c60	svc_c61	svc_c62	svc_c63	svc_c64	svc_c65	svc_c66	svc_c67	svc_c68	svc_c69	svc_c70	svc_c71	svc_c72	soils_c1	soils_c2	soils_c3	soils_c4	soils_c5	soils_c6	soils_c7	soils_c8	soils_c9	soils_c10	soils_c11	slope_width
19	0	0	0	0	0	0.02872	0.00215	0	0	0.009	0.00497	0	0	0	0.00632	0	0	0	0	0	0	0	0	0.04746	0.0094	0	0	0	0.05455	0	0	0	0	0	0	0	0	0	0	0.15047	0.09681	0	0	0.00648	0.07624	0	0	0	0	0	0	0.01929	0.034	0	0	0	0.00026	0	0	0	0	0	0.15648	0.15962	0	0	0	0.13785	0	0	0	0	0	0.04482	0.00632	0.11141	0	0	0.33001	0	0.05355	0.45389	0	0.03379
20	0	0	0	0	0	0.04766	0.03093	0	0.00249	0	0.00741	0	0	0	0.01063	0	0	0	0	0	0	0	0	0.03097	0.03967	0	0.03011	0	0.04808	0	0	0	0	0	0	0	0	0	0	0.1606	0.0678	0	0.00062	0	0.0333	0	0	0	0	0	0	0.04305	0.00019	0	0	0	0	0	0	0	0	0	0.15065	0.07672	0	0.0242	0	0.19497	0	0	0	0	0	0.08848	0.01063	0.14886	0	0	0.26233	0	0.04324	0.44649	0	0.02389
21	0	0	0	0	0	0.13499	0.00367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01678	0	0	0.11569	0	0.01188	0	0	0	0	0	0	0	0	0	0	0.23616	0.02663	0	0.00124	0	0.03342	0	0	0	0	0	0	0.0175	0	0	0	0	0	0	0	0	0	0	0.06559	0.01404	0	0.04287	0	0.27957	0	0	0	0	0	0.13866	0	0.1444	0	0	0.29746	0	0.0175	0.40206	0	0.01679
22	0	0	0	0	0	0.01497	0	0	0	0	0.06251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37925	0	0	0	0	0.47882	0	0	0	0	0	0	0	0	0	0	0	0.01742	0	0	0	0	0	0.03449	0	0	0	0	0.01263	0	0	0	0	0	0.07744	0	0	0	0	0.85808	0	0.01742	0.04711	0	0.03052
23	0	0	0	0	0	0.06349	0	0	0.00058	8e-05	0.12026	0	0	0	0.00018	0	0	0	0	0.00014	0	0	0	0.00647	0	0	0.00117	0.00308	0.04551	0	0	0	0	0	0	0	0	0	0	0.27713	0.02161	0	0.00247	0	0.36021	0	0	0	0	0	0	0.01586	0.00064	0	0	0	0.00198	0	0	0	0	0	0.03964	0	0	0	0.00975	0.02973	0	0	0	0	0	0.1844	0.00032	0.05622	0	0	0.66141	0	0.01848	0.07914	0	0.02861
24	0	0	0	0	0	0.06467	0	0	0.02129	0.00587	0.1415	0	0	0	0	0	0	0	0	0	0	0	0	0.01821	0	0	0.00518	0.00431	0.20816	0	0	0	0	0	0	0	0	0	0	0.15913	0.06182	0	0.03379	0.00977	0.1501	0	0	0	0	0	0	0	0.00635	0	0	0	0	0	0	0	0	0	0.03831	0	0	0	0.0317	0.04008	0	0	0	0	0	0.23323	0	0.23584	0	0	0.41452	0	0.00635	0.11003	0	0.02467
25	0	0	0	0	0	0.10206	0	0	0	0.01618	0.00986	0	0	0	0	0	0	0	0.00628	0.00077	0	0	0	0.00384	0	0	0	0.00837	0.08709	0	0	0	0	0	0	0	0	0	0	0.16389	0	0	0	0.04883	0.08803	0	0	0	0	0	0	0.01603	0	0	0	0.06618	0.0093	0	0	0	0	0	0.02146	0	0	0	0.08514	0.26694	0	0	0	0	0	0.12804	0.00705	0.0993	0	0	0.30061	0	0.09151	0.37359	0	0.02455
26	0	0	0	0	0	0.03729	0	0	0	0.02011	0.00086	0	0	0	0.00475	0	0	0	0.00137	0	0	0	0	0.04601	0	0	0.04604	0.0034	0.3331	0	0	0	0	0	0	0	0	0	0	0.07967	0	0	0	0.06014	0.00869	0	0	0	0	0	0	0.0866	0	0	0	0.00811	0	0	0	0	0	0	0.13577	0	0	0.0196	0.0169	0.09176	0	0	0	0	0	0.05823	0.00612	0.42852	0	0	0.14846	0	0.0947	0.26408	0	0.01946
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01871	0	0	0	0	0	0	0	0	0.03861	0	0	0.18304	0.00532	0.08718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26571	0	0	0	0	0	0	0	0	0	0	0.10861	0	0	0.12032	0.06289	0.10946	0	0	0	0	0	0	0.01871	0.31411	0	0	0	0	0.26571	0.40146	0	0.01721
28	0	0	0	0	0	0.0527	0.00581	0	0.01437	0.03203	0.0503	0.00326	0	0	0	0	0	0	0	0	0	0	0	0	0.00452	0	0.02376	0.01386	0	0	0	0	0	0	0	0	0	0	0	0.16432	0.18609	0	0.03752	0.12972	0.15879	0.02107	0	0	0	0	0	0.01195	0	0	0	0	0	0	0	0	0	0	0.01648	0.01775	0	0.02486	0.02481	0.00603	0	0	0	0	0	0.15853	0	0.04213	0	0	0.69737	0	0.01195	0.08997	0	0.0365
29	0	0	0	0	0	0.05747	0.00671	0	0.00336	0.03733	0.1354	0	0	0	0.0039	0	0	0	0.02211	0.01885	0	0	0	0.01109	0.00335	0	0.02071	0.00398	0.00693	0	0	0	0	0	0	0	0	0	0	0.13746	0.08597	0	0.01568	0.06812	0.21762	0.00016	0	0	0	0	0	0.03112	0	0	0	0.00748	0.02019	0	0	0	0	0	0.00961	0.02645	0	0.00533	0.02765	0.01598	0	0	0	0	0	0.24029	0.04485	0.04606	0	0	0.52503	0	0.05878	0.08498	0	0.03372
30	0	0	0	0	0	0.04933	0.00283	0	0	0.06517	0.15917	0	0	0	0	0	0	0	0.04433	0.049	0	0	0	0.0505	0	0	0	0	0.01367	0	0	0	0	0	0	0	0	0	0	0.09367	0.0815	0	0.00733	0.01	0.21633	0	0	0	0	0	0	0.08	0	0	0	0	0.023	0	0	0	0	0	0.01	0.02883	0	0.01033	0	0.00483	0	0	0	0	0	0.27667	0.09333	0.06417	0	0	0.40867	0	0.103	0.054	0	0.02317
31	0	0	0	0	0	0	0.00592	0	0.00688	0	0.06938	0	0	0	0	0.00105	0	0.0299	0	0	0	0	0	0.00698	0.00698	0	0.03325	0	0	0	0	0	0	0	0	0	0	0	0	0.00505	0.05601	0	0.02514	0	0.4658	0	0	0	0	0	0	0	0.05804	0	0	0	0	0	0	0	0	0	0.03016	0.05659	0	0.01171	0	0.13149	0	0	0	0	0	0.08205	0.03095	0.04722	0	0	0.55188	0	0.05804	0.22984	0	0.04304
32	0	0	0	0	0	0	0.00089	0	0.01364	0	0.06021	0	0	0	0	0.00584	0	0.05216	0	0	0	0	0	0	0.00298	0	0.05516	0	0.06627	0	0	0	0	0	0	0	0	0	0	0.01164	0.00421	0	0.01761	0	0.365	0	0	0	0	0	0	0	0.07258	0	0.01855	0	0	0	0	0	0	0	0.0263	0.00944	0	0.04251	0	0.1752	0	0	0	0	0	0.07473	0.05799	0.12441	0	0	0.39841	0	0.09113	0.25345	0	0.03976
33	0	0	0	0	0	0	0	0	0.00304	0	0.07004	0	0	0	0	0	0	0.01056	0	0.00372	0	0	0	0	0.0044	0	0.09154	0	0.49451	0	0	0	0	0	0	0	0	0	0	0.00117	0	0	0.00259	0	0.08166	0	0	0	0	0	0	0	0.021	0	0.00185	0	0.00132	0	0	0	0	0	0.00103	0.00801	0	0.03354	0	0.17006	0	0	0	0	0	0.07308	0.01428	0.59043	0	0	0.08543	0	0.0242	0.2126	0	0.02587
34	0	0	0	0	0	0.0839	0	0	0	0.00733	0.03604	0	0	0	0.00504	0	0	0	0	0.02718	0	0	0	0.04362	0	0	0	0.18766	0.0188	0	0	0	0	0	0	0	0	0.02852	0	0.16316	0	0	0	0.01694	0.07383	0	0	0	0	0	0	0.00807	0	0	0	0	0.03775	0	0	0	0.049	0	0.06828	0	0	0	0.09122	0.0535	0	0	0	0	0	0.1273	0.03218	0.25019	0	0	0.28254	0	0.04585	0.26203	0	0.04126
35	0	0	0	0	0	0.06247	0	0	0	0.03141	0.05465	0	0	0	0.00781	0	0	0.00069	0	0.03159	0	0	0.00323	0.02464	0	0	0.00067	0.16273	0.03411	0	0	0	0	0	0	0	0	0.00858	0	0.11279	0	0	0	0.0459	0.06958	0	0	0	0	0	0	0.00543	0	0	0.00046	0	0.05703	0	0	0	0.01575	0	0.04939	0	0	0	0.20014	0.02125	0	0	0	0	0	0.14849	0.04007	0.22532	0	0	0.23686	0	0.06289	0.28644	0	0.03614
36	0	0	0	0	0	0.04467	0	0	0	0.006	0.03667	0	0	0	0	0	0	0	0	0.07767	0	0	0	0.01967	0	0	0.01	0.237	0.03233	0	0	0	0	0	0	0	0	0	0	0.10633	0	0	0	0.032	0	0	0	0	0	0	0	0.00667	0	0	0	0	0.086	0	0	0	0	0	0.00433	0	0	0	0.21667	0.084	0	0	0	0	0	0.08733	0.07767	0.299	0	0	0.13833	0	0.09267	0.305	0	0.022
37	0	0	0	0	0	0.01542	0	0.11756	0	0.01044	0.00384	0	0	0	0.00254	0	0.01246	0	0	0	0	0	0	0.1024	0	0.0444	0	0.05172	0.03234	0	0	0	0	0	0	0	0	0	0	0.05749	0	0.07714	0	0.00732	0.01008	0	0	0	0	0	0	0.00538	0	0.01804	0	0.00061	0	0	0	0	0	0	0.07954	0	0.05409	0	0.01015	0.2871	0	0	0	0	0	0.14727	0.01499	0.23083	0	0	0.15195	0	0.02406	0.43087	0	0.04671
38	0	0	0	0	0	0.09552	0	0.00165	0	0.01196	0	0	0	0	0.01786	0	0.00444	0	0.00392	0	0	0	0	0.1263	0	0.01027	0	0.00666	0.01481	0	0	0	0	0	0	0	0	0	0	0.17826	0	0.01411	0	0.04081	0	0	0	0	0	0	0	0.00861	0	0.00011	0	0.00506	0	0	0	0	0	0	0.12699	0	0.00753	0	0.00666	0.31852	0	0	0	0	0	0.10909	0.02626	0.158	0	0	0.23322	0	0.01377	0.45971	0	0.03632
39	0	0	0	0	0	0.094	0	0	0	0.00356	0.02697	0	0	0	0	0	0	0	0.00247	0	0	0	0	0.1285	0	0	0	0	0.00415	0	0	0	0	0	0	0	0	0	0	0.18121	0	0	0	0.01238	0	0	0	0	0	0	0	0	0	0	0	0.00228	0	0	0	0	0	0	0.21516	0	0	0	0	0.32918	0	0	0	0	0	0.12453	0.00247	0.13266	0	0	0.19359	0	0.00228	0.54434	0	0.0193
40	0	0	0	0	0	0	0	0	0	0	0.08965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30213	0	0	0	0	0	0.08965	0	0.11276	0	0	0.49525	0	0	0.30213	0	0.04262
41	0	0	0	0	0	0	0	0	0	0	0.10321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04816	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01908	0	0.4865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02024	0	0.32265	0	0	0	0	0	0.10321	0	0.04816	0	0	0.50562	0	0	0.34294	0	0.02792
42	0	0	0	0	0	0	0	0	0	0	0.11657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07401	0	0.2113	0	0	0	0	0	0.11657	0	0.05667	0	0	0.5412	0	0	0.28556	0	0.01533
43	0	0	0	0	0	0.06148	0	0.00719	0.03991	0.03215	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00045	0	0	0	0.00172	0.00531	0	0	0	0	0	0	0	0	0	0	0.4431	0	0.01516	0.04571	0.16584	0.0494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06944	0	0	0	0.01788	0.0453	0	0	0	0	0	0.14074	0	0.00749	0	0	0.7192	0	0	0.13256	0	0.03729
44	0	0	0	0	0	0.07621	0	0.00157	0.03435	0.05418	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01143	0	0	0	0.00497	0.00016	0	0	0	0	0	0	0	0	0	0	0.44091	0	0.008	0.04132	0.15446	0.08232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06708	0	0.00052	0	0.00497	0.01752	0	0	0	0	0	0.16633	0	0.01657	0	0	0.72703	0	0	0.09005	0	0.04544
45	0	0	0	0	0	0.06988	0	0	0.01737	0.0703	0.00363	0	0	0	0	0	0	0	0	0	0	0	0	0.00527	0	0	0	0.00091	0	0	0	0	0	0	0	0	0	0	0	0.46272	0	0.00018	0.04203	0.17515	0.09637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05166	0	0.00011	0	0.00451	0	0	0	0	0	0	0.16118	0	0.00615	0	0	0.77642	0	0	0.05629	0	0.03922
46	0	0	0	0	0	0.03158	0.06778	0	0	0.0208	0.1957	0	0	0	0	0.0046	0	0	0.00063	0	0	0	0	0.00021	0.00646	0	0	0	0.00152	0	0	0	0	0	0	0	0	0	0	0.15807	0.11779	0	0	0.05744	0.24912	0	0	0	0	0	0	0	0.03131	0	0	0.00111	0.03166	0	0	0	0	0	0.00585	0.00928	0	0	0	0.00907	0	0	0	0	0	0.31586	0.00523	0.00819	0	0	0.58247	0	0.06408	0.0242	0	0.03815
47	0	0	0	0	0	0.09151	0.01981	0	0	0.03272	0.26884	0	0	0	0.00496	0.00377	0	0	0.00992	0.00331	0	0	0	0.0359	0.00229	0	0	0.01112	0.02992	0	0	0	0	0	0	0	0	0	0	0.08107	0.05547	0	0	0.02864	0.19599	0	0	0	0	0	0	0.02303	0.02309	0	0	0.00267	0.01536	0	0	0	0	0	0.02441	0.00356	0	0	0.0042	0.02845	0	0	0	0	0	0.41288	0.02196	0.07923	0	0	0.36117	0	0.06414	0.06063	0	0.0331
48	0	0	0	0	0	0.12258	0	0	0	0.00117	0.33842	0	0	0	0.002	0	0	0	0.03533	0.005	0	0	0	0.06725	0	0	0	0.00758	0.06775	0	0	0	0	0	0	0	0	0	0	0.02867	0.00283	0	0	0.00542	0.17817	0	0	0	0	0	0	0.02517	0	0	0	0.00567	0.01483	0	0	0	0	0	0.02708	0	0	0	0.00517	0.05967	0	0	0	0	0	0.46225	0.04242	0.14258	0	0	0.21508	0	0.04567	0.09192	0	0.02483
49	0	0	0	0	0	0.03187	0.01063	0	0	0	0.03591	0	0	0	0	0	0	0	0	0	0	0	0	0.07654	0.00691	0	0	0	0.1026	0	0	0	0	0	0	0	0	0	0	0.11068	0.06774	0	0	0	0.06772	0	0	0	0	0	0	0.00278	0	0	0	0	0	0	0	0	0	0	0.08843	0.02709	0	0	0	0.37091	0	0	0	0	0	0.0784	0	0.18608	0	0	0.24619	0	0.00278	0.48641	0	0.02177
50	0	0	0	0	0	0.02844	0	0	0	0	0.04988	0	0	0	0	0	0	0	0	0	0	0	0	0.05334	0	0	0	0	0.11979	0	0	0	0	0	0	0	0	0	0	0.0988	0.0633	0	0	0	0.20979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02798	0	0	0	0	0.34842	0	0	0	0	0	0.07839	0	0.17314	0	0	0.37214	0	0	0.37633	0	0.02244
51	0	0	0	0	0	0.041	0	0	0	0	0.0805	0	0	0	0	0	0	0	0	0	0	0	0	0.0405	0	0	0	0	0.0945	0	0	0	0	0	0	0	0	0	0	0.0955	0.006	0	0	0	0.1645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.094	0	0	0	0	0.383	0	0	0	0	0	0.1215	0	0.1355	0	0	0.2665	0	0	0.4765	0	0.021
52	0	0	0	0	0.00041	0.00512	0.03885	0	0.00535	0.00985	0.01736	0	0	0	0.00086	0.01779	0	0.01212	0.00031	0.00832	0	0	0	0.00017	0.02684	0	0.01402	0.02725	0.03865	0	0	0	0	0	0	0	0	0.00252	0	0.02288	0.20969	0	0.00439	0.04362	0.13376	0	0	0	0	0	0	0.007	0.0427	0	0.01389	0.00182	0.02938	0	0	0	0	0	0.00546	0.10061	0	0.01851	0.05368	0.08689	0	0	0	0	0	0.07695	0.0394	0.1069	0	0	0.41683	0	0.09482	0.26516	0	0.03733
53	0	0	0	0	0	0.00026	0.01233	0	3e-04	0.01805	0.08347	0	0	0	0	0.00927	0	0.01882	0.00949	0.00755	0	0	0	0	0.01226	0	0.08017	0.03585	0.08116	0	0	0	0	0	0	0	0	0.00722	0	0.00128	0.07949	0	0.00075	0.02181	0.08684	0	0	0	0	0	0	0	0.02664	0	0.03084	0.0282	0.01831	0	0	0	0	0	0.00012	0.06237	0	0.06517	0.06426	0.13764	0	0	0	0	0	0.11443	0.04515	0.20947	0	0	0.19739	0	0.10401	0.32961	0	0.02758
54	0	0	0	0	0	0	0	0	0	0.0353	0.18553	0	0	0	0	0	0	0.01768	0.00505	0.00807	0	0	0	0	0.0015	0	0.10779	0.02583	0.13579	0	0	0	0	0	0	0	0	0.00405	0	0	0.01409	0	0	0.0269	0.08595	0	0	0	0	0	0	0	0	0	0.01618	0.06593	0.02362	0	0	0	0	0	0	0.00585	0	0.0916	0.01488	0.12856	0	0	0	0	0	0.22083	0.03084	0.27091	0	0	0.131	0	0.10573	0.24092	0	0.02233
55	0	0	0	0	0	0.01767	0.00878	0	0.014	0.03567	0.09387	0	0	0	0	0.0143	0	0.00097	0	0	0	0	0	0	0.04206	0	0	0.05098	0.01165	0	0	0	0	0	0	0	0	0	0	0.1887	0.08384	0.01647	0.04769	0.08693	0.07978	0	0	0	0	0	0	0	0.05394	0	0.01163	0	0	0	0	0	0	0	0	0.11195	0	0.02025	0.00359	0.00527	0	0	0	0	0	0.17006	0.0152	0.10469	0	0	0.50347	0	0.06558	0.14105	0	0.03175
56	0	0	0	0	0	0.11843	0.0051	0	0.05375	0.07166	0.13462	0	0	0	0.03847	0.00685	0	0.06763	0	0.00588	0	0	0	0.00684	0.02716	0	0.00709	0.00877	0.01824	0	0	0	0	0	0	0	0	0	0	0.08641	0.01697	0	0.00937	0.02951	0.1114	0	0	0	0	0	0	0.02298	0.03203	0	0.02854	0	0.00795	0	0	0	0	0	0.01222	0.04688	0	0.00643	0.00498	0.01387	0	0	0	0	0	0.3835	0.11882	0.06809	0	0	0.25369	0	0.09151	0.08438	0	0.03654
57	0	0	0	0	0	0.12119	0	0	0.043	0.06697	0.12094	0	0	0	0.04573	0	0	0.10288	0	0.00272	0	0	0	0.00795	0.0083	0	0	0	0.03652	0	0	0	0	0	0	0	0	0	0	0.10556	0.00423	0	0.02127	0.01458	0.12727	0	0	0	0	0	0	0.02121	0	0	0.03024	0	0.01884	0	0	0	0	0	0.01681	0.02647	0	0	0	0.05742	0	0	0	0	0	0.3521	0.15133	0.05278	0	0	0.27289	0	0.07029	0.10061	0	0.03244
58	0	0	0.00047	5e-05	0.00407	0.00522	0.00365	0	0.01028	0.01549	0.02734	0.00216	0	4e-05	0	0	0	0	0	0	0	0	0.00048	0	0	0	6e-05	0.00059	0.00215	8e-05	0	0	0	0	0	0.0209	0.00777	0.39577	0.00177	0.01229	0.08896	0	0.03411	0.08897	0.17107	0.01556	0	0	0	0	0.00965	0	0.00168	0	0.00051	0.00079	0.00317	0	0	0.00307	0.05382	0.0013	0	0.0022	0	1e-04	0.00444	0.00788	0.00207	0	0	0	0	0.06872	4e-05	0.00336	0	0	0.83719	0	0.0158	0.07487	0	0.04222
59	0	0	0.00042	0	0.00455	0.00993	0.00179	0	0.0185	0.02453	0.03731	0.01241	0	9e-05	0	0.00174	0	0.00012	0.0025	5e-05	0	0	0.00037	0	3e-05	0	0.00027	0.00533	0.00582	0.00113	0	0	0	0	0	0.00829	0.01146	0.33818	0	0.01441	0.068	6e-05	0.02673	0.08403	0.19898	0.019	0	0	0	0	0.01786	0	0.00433	0	0.00059	0.002	0.00438	0	0	0.00187	0.05123	3e-05	0	0.00064	0	0.0026	0.0069	0.01027	0.00124	0	0	0	0	0.10943	0.0045	0.01296	0	0	0.76919	0	0.02914	0.07477	0	0.03989
60	0	0	0	0	0.00945	0.01192	0.00361	0	0.01035	0.03296	0.04353	0.01569	0	0	0	0.00032	0	8e-05	0.00484	0.00738	0	0	0.00023	0	8e-04	0	0	0.00559	0.02017	0.00018	0	0	0	0	0	2e-04	0.0191	0.31432	0	0.02202	0.05192	0	0.01626	0.09184	0.19906	0.01307	0	0	0	0	0.01339	0	0.0053	0	0.00055	0.00715	0.02021	0	0	0.00323	0.01522	0	0	0.00361	0	0.00123	0.00493	0.03025	1e-04	0	0	0	0	0.12748	0.01262	0.02696	0	0	0.72776	0	0.0466	0.0586	0	0.02996
61	0	0	0	0	0	0.28885	0.00239	0.06593	0	0.10538	0.06688	0.00221	0	0	0.00235	0	0	0	0.00904	0.01825	0	0	0	0.04046	0	0.00084	0	0.00359	0.00186	0	0.02951	0	0.00788	0	0	0	0	0	0	0.18346	0.00511	0.02128	0	0.08237	0.01357	0	0	0	0	0	0	3e-04	0	0	0	0.00421	0.00092	0	0	0	0	0	0.01978	0	0.00022	0	0.00701	0.00055	0	0.01355	0	0.00227	0	0.53163	0.02963	0.04675	0.0374	0	0.30578	0	0.00542	0.02756	0.01582	0.03229
62	0	0	0	0	0	0.31403	0.00051	0.02463	0	0.09146	0.08098	0.03497	0	0	0.00729	0	0	0	0.01425	0.03833	0	0	0	0.0321	0	0	0	0.00196	0.00266	0	0.05742	0	0.02064	0	0	0	0	0	0	0.14019	0.00191	0.02787	0	0.04606	0.02193	0.00203	0	0	0	0	0	0.00167	0	0	0	0.005	0.00144	0	0	0	0	0	0.0231	0	0	0	0.00171	0	0	0.00452	0	0.00131	0	0.54661	0.05987	0.03671	0.07807	0	0.24	0	0.00811	0.02482	0.00583	0.03104
63	0	0	0	0	0	0.27075	0	0.02484	0	0.06343	0.07101	0.06101	0	0	0.02371	0	0	0	0.01091	0.04124	0	0	0	0.02206	0	0	0	0.00275	0.01669	0	0.04227	0	0.04847	0	0	0	0	0	0	0.18276	0	0.01476	0	0.03388	0.02453	0.02142	0	0	0	0	0	0.00116	0	0	0	0.00149	0.00117	0	0	0	0	0	0.00883	0	0	0	0.00177	0	0	0.00066	0	0.0084	0	0.49105	0.07588	0.04148	0.09074	0	0.27732	0	0.00382	0.01063	0.00906	0.02556
