subbas_id	lu_id	fraction
1	1	0.0382920449159649
1	2	0.0373988297057858
1	3	0.106160450617959
1	4	0.0796807211345656
1	5	0.0163786503335885
1	6	0.033178843559736
1	7	0.00869289802763499
1	8	0.00652821830908892
1	9	0.00456177768055707
1	10	0.0131817601808305
1	11	0.00321284042436837
1	12	0.00362982609646724
1	13	0.00607477487330927
1	14	0.00254065040650406
1	15	0.016729556309016
1	16	0.0233306901454665
1	17	0.00619326260527179
1	18	0.0135463378176383
1	19	0.0092010281089358
1	20	0.0759301286959058
1	21	0.0253632104706697
1	22	0.016727277698786
1	23	0.00378249298188049
1	24	0.0131908746217507
1	25	0.0322081556017354
1	26	0.0320828320390827
1	27	0.0352159211053994
1	28	0.0064097305771264
1	29	0.0449569798388567
1	30	0.0320805534288527
1	31	0.0288904991067848
1	32	0.00371185606474899
1	33	0.0140385176273287
1	34	0.00637783003390572
1	35	0.00909393342812352
1	36	0.00722775164971381
1	37	0.0170485617412228
1	38	0.00141501695286011
1	39	0.0275734623938168
1	40	0.023870720769988
1	41	0.0140704181705494
1	42	0.00865188304349411
1	43	0.0325727332385432
1	44	0.000943344635240074
1	45	0.00277306864996901
1	46	0.00251102847351343
1	47	0.00706597032338036
1	48	0.00410605563454738
1	49	0.00351361697473477
1	50	0.00236975463925043
1	51	0.000890936599948959
1	52	0.00133298698457837
1	53	0.00202112727405301
1	54	0.00910532647927376
1	55	0.0040650406504065
1	56	0.00102309599329177
1	57	0.0172741441539976
2	2	0.0689275974311604
2	3	0.0443388756927949
2	4	0.120260402920735
2	5	0.0133500483856778
2	6	0.0137679246942905
2	7	0.0385985748218527
2	8	0.049089469517023
2	9	0.00846749362188792
2	10	0.0186504794580804
2	11	0.0175727984516583
2	12	0.0467361660948359
2	15	0.000351895838831706
2	16	0.022719275094572
2	18	0.0617357262250374
2	19	0.0103369402656814
2	20	0.0132840679158969
2	21	0.0922187032638339
2	22	0.0886557578956629
2	23	0.0137899181842175
2	24	0.0434591360957157
2	25	0.0258863376440574
2	26	0.00851148060174188
2	27	0.0455925046186329
2	28	0.0129761590569192
2	29	0.037059030526964
2	30	0.0183205771091757
2	31	0.0199700888536993
2	32	0.0208058414709246
2	33	0.0117885106008621
2	34	0.00996305093692267
2	36	0.000725785167590393
2	37	0.00208938154306325
