subbas_id	res_class_id	n_reservoirs	maxlake
1	1	1	20453.8668479769
2	1	2	27022.3775056603
1	2	3	167380.355580244
2	2	0	0
1	3	4	974032.632547418
2	3	1	753653.668626305
1	4	4	3458264.23214046
2	4	1	2369799.84410874
1	5	2	40790948.8585122
2	5	0	0
