pid	description	bedrock_flag	alluvial_flag	b_om
27	NA	1	0	17.5574016373333
79	NA	1	0	15.3690519850909
98	NA	1	0	31.13239908
1027	NA	0	1	16.3888610604167
1079	NA	0	1	14.347423404
1098	NA	0	1	31.333924655
72	NA	1	0	14.4649767356667
1072	NA	0	1	13.1746150173333
30	NA	1	0	33.582
1030	NA	0	1	33.582
1067	NA	0	1	10.00101294075
11	NA	1	0	25.755598985
67	NA	1	0	11.29818182
1011	NA	0	1	26.00798286
1001	NA	0	1	9.744
28	NA	1	0	2.675010989
1028	NA	0	1	1.74
